id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8481297-B2,Compositions and methods of use of an oncolytic vesicular stomatitis virus ,Yale University,"Anthony N. van den Pol, Guido Wollmann",1/8/2009,1/7/2010,7/9/2013,7/9/2013,https://patents.google.com/patent/US8481297B2/en,https://patentimages.storage.googleapis.com/a8/ff/44/9ce77b40709e20/US08481297-20130709-D00001.png
US-9061055-B2,Oncolytic adenovirus armed with therapeutic genes ,Board of Regentsm The University of Texas System,"Juan Fueyo, Candelaria Gomez-Manzano, W.K. Alfred Yung, Charles A. Conrad, Frederick F. Lang, JR.",4/17/2002,2/12/2009,6/23/2015,6/23/2015,https://patents.google.com/patent/US9061055B2/en,https://patentimages.storage.googleapis.com/58/b1/88/db1b9fb55cb779/US09061055-20150623-D00001.png
US-9803216-B2,"Genetically-engineered newcastle disease virus as an oncolytic agent, and methods of using same ",University Of Maryland,"Elankumaran Subbiah, Siba K. Samal",6/5/2006,9/7/2012,10/31/2017,10/31/2017,https://patents.google.com/patent/US9803216B2/en,https://patentimages.storage.googleapis.com/ec/de/55/d8c446b1186250/US09803216-20171031-D00001.png
US-8114416-B2,Modified oncolytic viruses ,Viralytics Limited,"Eva Susanne Johansson, Darren Raymond Shafren",3/11/2004,1/17/2005,2/14/2012,2/14/2012,https://patents.google.com/patent/US8114416B2/en,https://patentimages.storage.googleapis.com/94/be/5a/3b0ce8f336d696/US08114416-20120214-D00001.png
US-9862932-B2,Oncolytic virus therapy for resistant tumors ,The General Hospital Corporation,"Khalid Shah, Kaoru Tamura, Hiroaki Wakimoto",7/24/2012,3/15/2013,1/9/2018,1/9/2018,https://patents.google.com/patent/US9862932B2/en,https://patentimages.storage.googleapis.com/75/92/32/ebcbd8be2e55dd/US09862932-20180109-D00001.png
US-9884080-B2,Poxviral oncolytic vectors ,Transgene S.A.,"Philippe Erbs, Johann Foloppe",11/19/2007,2/27/2013,2/6/2018,2/6/2018,https://patents.google.com/patent/US9884080B2/en,https://patentimages.storage.googleapis.com/e4/7b/95/52bb435dcd6604/US09884080-20180206-D00001.png
US-9919062-B2,Oncolytic vaccinia virus cancer therapy ,"Sillajen Biotherapeutics, Inc.",David Kirn,9/7/2005,12/11/2015,3/20/2018,3/20/2018,https://patents.google.com/patent/US9919062B2/en,https://patentimages.storage.googleapis.com/68/6c/f7/71eb8e4a16c266/US09919062-20180320-D00001.png
US-8043612-B2,Infection and treatment of neoplasms with vesicular stomatitis virus ,Wellstat Biologics Corporation,"Michael S. Roberts, Robert M. Lorence, William S. Groene, Harvey Rabin, Reid W. von Borstel",10/9/1997,11/18/2008,10/25/2011,10/25/2011,https://patents.google.com/patent/US8043612B2/en,https://patentimages.storage.googleapis.com/60/65/11/b109105c3d8ece/US08043612-20111025-D00001.png
US-9101658-B2,Immune effector cells pre-infected with oncolytic virus ,The Board Of Trustees Of The Leland Stanford Junior University,"Christopher H. Contag, Stephen Thorne",9/30/2005,5/14/2012,8/11/2015,8/11/2015,https://patents.google.com/patent/US9101658B2/en,https://patentimages.storage.googleapis.com/47/61/c3/be46fc15380d72/US09101658-20150811-D00001.png
US-9018182-B2,Tumor specific promoter and oncolytic virus vector comprising the same ,"Green Cross Corporation, Mogam Biotechnology Research Institute, Industry-Academic Cooperation Foundation, Yonsei University","Daekyung Koh, Seongtae Yun, Kyuhyun Lee, Hong-Kyu Lee, Mihee Hwang, Chae-Ok Yun, Eui-Cheol Jo",4/26/2010,4/26/2010,4/28/2015,4/28/2015,https://patents.google.com/patent/US9018182B2/en,https://patentimages.storage.googleapis.com/b8/f7/7b/9097d863476ecb/US09018182-20150428-D00001.png
US-9572883-B2,Oncolytic rhabdovirus ,Turnstone Limited Partnership,"David F. Stojdl, John Bell",9/15/2006,7/8/2013,2/21/2017,2/21/2017,https://patents.google.com/patent/US9572883B2/en,https://patentimages.storage.googleapis.com/21/b9/a8/17fcb0ef28e082/US09572883-20170221-D00001.png
US-9987314-B2,Oncolytic adenoviruses armed with heterologous genes ,Psioxus Therapeutics Limited,"Brian Robert Champion, Alice Claire Noel BROWN, Kerry David Fisher, Tamara NICOLSON",10/25/2013,10/24/2014,6/5/2018,6/5/2018,https://patents.google.com/patent/US9987314B2/en,https://patentimages.storage.googleapis.com/0a/d3/f7/bd477609f676bc/US09987314-20180605-D00001.png
US-10124028-B2,Oncolytic adenovirus encoding a B7 protein or active fragment ,Psioxus Therapeutics Limited,"Brian Robert Champion, Alice Claire Noel BROWN",4/30/2015,8/8/2016,11/13/2018,11/13/2018,https://patents.google.com/patent/US10124028B2/en,https://patentimages.storage.googleapis.com/88/29/85/ce4c5ed29d208c/US10124028-20181113-D00001.png
US-9180150-B2,Poxviral oncolytic vectors ,Transgene S.A.,"Philippe Erbs, Johann Foloppe",11/19/2007,11/17/2008,11/10/2015,11/10/2015,https://patents.google.com/patent/US9180150B2/en,https://patentimages.storage.googleapis.com/39/0a/61/005191ba69477c/US09180150-20151110-D00001.png
US-9045729-B2,Oncolytic rhabdovirus ,"Ottawa Hospital Research Institute, Children's Hospital Of Eastern Ontario Research Institute Inc.","John C. Bell, David F. Stojdl",12/10/2009,12/10/2010,6/2/2015,6/2/2015,https://patents.google.com/patent/US9045729B2/en,https://patentimages.storage.googleapis.com/0b/de/1e/5f921a1a5c9c98/US09045729-20150602-D00001.png
US-9370550-B2,Oncolytic viruses and methods for treating neoplastic disorders ,The Governors Of The University Of Alberta,"David H. Evans, Don B. Gammon",7/10/2009,1/28/2014,6/21/2016,6/21/2016,https://patents.google.com/patent/US9370550B2/en,https://patentimages.storage.googleapis.com/a4/c6/50/325a882130ad5d/US09370550-20160621-D00001.png
US-8574594-B2,Generation of replication competent viruses for therapeutic use ,Psioxus Therapeutics Limited,"Terry Hermiston, Fang Jin, Peter Kretschmer",12/1/2004,6/22/2009,11/5/2013,11/5/2013,https://patents.google.com/patent/US8574594B2/en,https://patentimages.storage.googleapis.com/33/99/4a/e89ed1fbd68117/US08574594-20131105-D00001.png
US-10232003-B2,Exogenous tap inhibitor armed oncolytic viruses and therapeutic uses thereof ,"Benevir Biopharm, Inc.","Matthew Mulvey, Steven Fuhrmann, Ram Aiyar",3/30/2014,3/30/2015,3/19/2019,3/19/2019,https://patents.google.com/patent/US10232003B2/en,https://patentimages.storage.googleapis.com/7d/15/e7/e21ce28c6daee1/US10232003-20190319-D00001.png
US-7951585-B2,Construction of oncolytic adenovirus recombinant specifically expressing immune modulatory factor GM-CSF in tumor cells and uses thereof ,"Chengdu Kanghong Biotechnologies Co., Ltd.",Zunhong Ke,6/7/2004,11/19/2004,5/31/2011,5/31/2011,https://patents.google.com/patent/US7951585B2/en,https://patentimages.storage.googleapis.com/a9/31/e4/39dfa72c104e24/US07951585-20110531-D00001.png
US-9283254-B2,Compositions and methods for enhancing virus efficacy ,Ottawa Hospital Research Institute,"John Bell, Jean-Simon Diallo, Fabrice Le Boeuf",7/7/2009,12/12/2014,3/15/2016,3/15/2016,https://patents.google.com/patent/US9283254B2/en,https://patentimages.storage.googleapis.com/a5/75/6f/539402b5ef2efc/US09283254-20160315-D00001.png
US-7473418-B2,Pan cancer oncolytic vectors and methods of use thereof ,"Cell Genesys, Inc.","DeChao Yu, Yuanhao Li",3/25/2004,3/9/2005,1/6/2009,1/6/2009,https://patents.google.com/patent/US7473418B2/en,https://patentimages.storage.googleapis.com/US7473418B2/US07473418-20090106-D00001.png
US-10172893-B2,Oncolytic HSV vector ,University of Pittsburgh—of the Commonwealth System of Higher Education,"Hiroaki Uchida, Justus B. Cohen, Joseph C. Glorioso, III, Paola Grandi",10/28/2013,6/7/2017,1/8/2019,1/8/2019,https://patents.google.com/patent/US10172893B2/en,https://patentimages.storage.googleapis.com/90/ea/39/c9dcba61cd6bb7/US10172893-20190108-D00001.png
US-9732358-B2,PIV5 as oncolytic agent ,"University Of Georgia Research Foundation, Inc.",Biao He,1/24/2012,1/24/2013,8/15/2017,8/15/2017,https://patents.google.com/patent/US9732358B2/en,https://patentimages.storage.googleapis.com/c1/67/60/6d1afa9036a821/US09732358-20170815-D00001.png
US-10039796-B2,Mutant herpes simplex virus-2 for cancer therapy ,The University Of Houston System,"Xiaoliu Zhang, Xinping Fu",6/23/2005,2/13/2015,8/7/2018,8/7/2018,https://patents.google.com/patent/US10039796B2/en,https://patentimages.storage.googleapis.com/18/3b/3f/fcc7906f0bb9b4/US10039796-20180807-D00001.png
US-10105404-B2,Oncolytic herpes simplex virus and therapeutic uses thereof ,"New York University, Benevir Biopharm, Inc.","Ian J. Mohr, Matthew C. Mulvey",9/8/2011,4/17/2017,10/23/2018,10/23/2018,https://patents.google.com/patent/US10105404B2/en,https://patentimages.storage.googleapis.com/54/d3/d0/a7c20876fdb02c/US10105404-20181023-D00001.png
US-10130667-B1,TAA/ecdCD40L oncolytic virus ,"Microvax, Llc",Albert B. Deisseroth,1/28/2013,4/15/2016,11/20/2018,11/20/2018,https://patents.google.com/patent/US10130667B1/en,
US-8163892-B2,Oncolytic virus replicating selectively in tumor cells ,"Oncolys Biopharma, Inc.","Toshiyoshi Fujiwara, Noriaki Tanaka, Satoru Kyo, Yoshiko Shirakiya, Takeshi Kawashima",7/8/2002,7/19/2010,4/24/2012,4/24/2012,https://patents.google.com/patent/US8163892B2/en,https://patentimages.storage.googleapis.com/cd/20/69/f4488083b3c9bf/US08163892-20120424-D00001.png
US-7964187-B2,Sensitization of chemotherapeutic agent resistant neoplastic cells with a virus ,Oncolytics Biotech Inc.,"Matthew C. Coffey, Bradley G. Thompson",2/20/2001,9/8/2009,6/21/2011,6/21/2011,https://patents.google.com/patent/US7964187B2/en,https://patentimages.storage.googleapis.com/0c/2f/5a/e631ee3c4c39b6/US07964187-20110621-D00001.png
US-7780962-B2,Treatment of neoplasms with RNA viruses ,Wellstat Biologics Corporation,"Michael S. Roberts, Robert M. Lorence, William S. Groene, Harvey Rabin, Reid W. von Borstel",10/9/1997,6/13/2002,8/24/2010,8/24/2010,https://patents.google.com/patent/US7780962B2/en,https://patentimages.storage.googleapis.com/56/1d/1f/f4da4e0dd6c0ee/US07780962-20100824-D00003.png
US-8530437-B2,Methods for treating cancer using herpes simplex virus expressing antisense to the squamous cell carcinoma related oncogene ,"Sloan Kettering Institute For Cancer Research, Virttu Biologics Limited","Susanne Moira Brown, Paul Dunn, Bhuvanesh Singh, Ian Ganly",11/17/2003,5/6/2009,9/10/2013,9/10/2013,https://patents.google.com/patent/US8530437B2/en,https://patentimages.storage.googleapis.com/d7/ff/56/3ab6fd34d84755/US08530437-20130910-D00001.png
US-10251922-B2,Newcastle disease viruses and uses thereof ,"Icahn School Of Medicine At Mount Sinai, Memorial Sloan Kettering Cancer Center","Peter Palese, Adolfo Garcia-Sastre, Dmitriy Zamarin, Jedd D. Wolchok",3/14/2013,10/20/2017,4/9/2019,4/9/2019,https://patents.google.com/patent/US10251922B2/en,https://patentimages.storage.googleapis.com/86/5f/ea/b8b6d0890d06f0/US10251922-20190409-D00001.png
US-9180151-B2,Oncolytic vaccinia virus combination cancer therapy ,"Sillajen Biotherapeutics, Inc.","David Kirn, Caroline Breitbach",9/14/2009,5/8/2014,11/10/2015,11/10/2015,https://patents.google.com/patent/US9180151B2/en,https://patentimages.storage.googleapis.com/95/5d/38/0c5ceee246b007/US09180151-20151110-D00001.png
US-10035984-B2,Chimeric newcastle disease viruses and uses thereof ,"Icahn School Of Medicine At Mount Sinai, Memorial Sloan-Kettering Cancer Center","Peter Palese, Adolfo Garcia-Sastre, Dmitriy Zamarin, Yuman Fong",2/5/2009,11/16/2015,7/31/2018,7/31/2018,https://patents.google.com/patent/US10035984B2/en,https://patentimages.storage.googleapis.com/06/e6/f5/851dfe3d6212e3/US10035984-20180731-D00001.png
US-8216819-B2,Generation of oncolytic adenoviruses and uses thereof ,Psioxus Therapeutics Limited,"Terry Hermiston, Irene Kuhn",12/22/2006,12/20/2007,7/10/2012,7/10/2012,https://patents.google.com/patent/US8216819B2/en,https://patentimages.storage.googleapis.com/f5/2c/56/0936b4f32e0554/US08216819-20120710-D00001.png
US-8282917-B2,Mutant viruses and uses thereof ,"Wellstat Biologics Corporation, Ottawa Hospital Research Institute","John C. Bell, Brian D. Lichty, David F. Stodjl",3/27/2003,3/30/2010,10/9/2012,10/9/2012,https://patents.google.com/patent/US8282917B2/en,https://patentimages.storage.googleapis.com/d8/15/ce/d39793c5aa0892/US08282917-20121009-D00001.png
US-7429481-B2,Targeting viruses using a modified sindbis glycoprotein ,University Of Pittsburgh,"Ira Bergman, Patricia Whitaker-Dowling",9/14/2004,9/14/2005,9/30/2008,9/30/2008,https://patents.google.com/patent/US7429481B2/en,https://patentimages.storage.googleapis.com/US7429481B2/US07429481-20080930-D00001.png
US-7897146-B2,Treatment using herpes simplex virus ,Crusade Laboratories Limited,"Susanne Moira Brown, Guy Michael Gary Hamilton",11/17/2003,8/30/2006,3/1/2011,3/1/2011,https://patents.google.com/patent/US7897146B2/en,https://patentimages.storage.googleapis.com/13/94/41/3e4f18c19e451d/US07897146-20110301-D00001.png
US-10016470-B2,Oncolytic adenoviruses for cancer treatment ,"Dnatrix, Inc.","Ramon Alemany Bonastre, Juan Jose Rojas Exposito, Manel Maria Cascallo Piqueras",2/1/2006,5/2/2016,7/10/2018,7/10/2018,https://patents.google.com/patent/US10016470B2/en,https://patentimages.storage.googleapis.com/35/e3/da/8c9d2298b6cccd/US10016470-20180710-D00001.png
US-10174291-B2,"Genetically stable oncolytic RNA virus, method of manufacturing and use thereof ",Ditesan Ltd.,"Dite Venskus, Ivars Kalvins, Dace Pjanova, Ramona Petrovska, Jurgis Auzins",7/16/2013,7/16/2014,1/8/2019,1/8/2019,https://patents.google.com/patent/US10174291B2/en,https://patentimages.storage.googleapis.com/84/6d/46/3ed2c0c78f2349/US10174291-20190108-D00001.png
US-7498161-B2,Mutant herpes simplex viruses comprising nucleic acid encoding a nitroreductase ,Crusade Laboratories Limited,"Susanne Moira Brown, Paul Dunn",11/17/2003,11/17/2004,3/3/2009,3/3/2009,https://patents.google.com/patent/US7498161B2/en,https://patentimages.storage.googleapis.com/US7498161B2/US07498161-20090303-D00001.png
US-7981669-B2,Viral vectors ,Biovex Limited,"Robert S. Coffin, Guy Richard Simpson",7/25/2003,1/25/2006,7/19/2011,7/19/2011,https://patents.google.com/patent/US7981669B2/en,https://patentimages.storage.googleapis.com/58/a9/e2/ce1b3a5c51a65f/US07981669-20110719-D00001.png
US-10202581-B2,Methods and compositions for production of vaccinia virus ,"Sillajen Biotherapeutics, Inc.","David Kirn, John Bell",8/5/2011,6/27/2017,2/12/2019,2/12/2019,https://patents.google.com/patent/US10202581B2/en,https://patentimages.storage.googleapis.com/75/c6/e2/60e880037eb15b/US10202581-20190212-D00001.png
US-8039606-B2,Seneca Valley virus based compositions and methods for treating disease ,Novartis Ag,"Paul Hallenbeck, Seshidhar Reddy POLICE, Laura M. Hales, Carl Hay, Shanthi Ganesh, Ling Xu, Jingping Yang, Cheng Cheng",9/26/2003,10/9/2009,10/18/2011,10/18/2011,https://patents.google.com/patent/US8039606B2/en,https://patentimages.storage.googleapis.com/f0/1b/47/1af06548f9247d/US08039606-20111018-D00001.png
US-6602499-B1,Combination viral-based and gene-based therapy of tumors ,The General Hospital Corporation,"E. Antonio Chiocca, Xandra O. Breakefield",4/30/1998,4/30/1999,8/5/2003,8/5/2003,https://patents.google.com/patent/US6602499B1/en,https://patentimages.storage.googleapis.com/8b/a4/6b/b8878ecac81d27/US6602499-drawings-page-6.png
US-9241998-B2,Methods and compositions for treatment of cancer using oncolytic RSV activity ,"Board Of Regents, The University Of Texas System","Santanu Bose, Bandana Chatterjee",5/21/2007,5/21/2008,1/26/2016,1/26/2016,https://patents.google.com/patent/US9241998B2/en,https://patentimages.storage.googleapis.com/85/08/fd/2d8dc4fa89ec9c/US09241998-20160126-D00001.png
US-9289456-B2,Modulating oncolytic vesicular stomatitis virus (VSV) with statins for cancer treatment ,Nova Southeastern University,"Paula A. Faria-Waziry, Luigi X. Cubeddu, Ana Maria Castejon",11/22/2010,11/22/2011,3/22/2016,3/22/2016,https://patents.google.com/patent/US9289456B2/en,https://patentimages.storage.googleapis.com/b3/80/59/a1c90b7fdccad6/US09289456-20160322-D00001.png
US-8980282-B2,Viruses ,Virttu Biologics Limited,Joe Conner,7/26/2007,4/2/2008,3/17/2015,3/17/2015,https://patents.google.com/patent/US8980282B2/en,https://patentimages.storage.googleapis.com/33/24/cf/6bac3a2cb194c5/US08980282-20150317-D00001.png
US-8227440-B2,Use of Myxoma virus for the therapeutic treatment of cancer and chronic viral infection ,Robarts Research Institute,"Grant McFadden, John C. Bell",3/7/2003,8/28/2009,7/24/2012,7/24/2012,https://patents.google.com/patent/US8227440B2/en,https://patentimages.storage.googleapis.com/31/f1/53/5c8fb01c88b013/US08227440-20120724-D00001.png
US-7459154-B2,Methods and reagents for the enhancement of virus transduction in the bladder epithelium ,"Cell Genesys, Inc.","Nagarajan Ramesh, David Frey, Bahram Memarzadeh, DeChao Yu",12/26/2002,12/26/2002,12/2/2008,12/2/2008,https://patents.google.com/patent/US7459154B2/en,https://patentimages.storage.googleapis.com/cb/c7/c7/8d4f3e95b2c59b/US07459154-20081202-D00006.png
US-9610309-B2,Liquid viral formulations ,Oncolytics Biotech Inc.,"Matthew C. Coffey, Sarah Serl, Leo Pavliv",12/2/2010,4/23/2015,4/4/2017,4/4/2017,https://patents.google.com/patent/US9610309B2/en,https://patentimages.storage.googleapis.com/69/78/a4/a6f1dc49e8199b/US09610309-20170404-D00001.png
US-9650649-B2,LCMV-GP-VSV-pseudotyped vectors and tumor-infiltrating virus-producing cells for the therapy of tumors ,Viratherapeutics Gmbh,"Dorothee von Laer, Tsanan Heimann",10/8/2008,10/8/2009,5/16/2017,5/16/2017,https://patents.google.com/patent/US9650649B2/en,https://patentimages.storage.googleapis.com/f4/5b/d4/44124ce41cf884/US09650649-20170516-D00001.png
US-7470426-B1,Treatment of neoplasms with viruses ,Wellstat Biologics Corporation,"Michael S. Roberts, Robert M. Lorence, William S. Groene, Harvey Rabin, Reid W. von Borstel",10/9/1997,4/17/2000,12/30/2008,12/30/2008,https://patents.google.com/patent/US7470426B1/en,
US-8163292-B2,Herpes simplex viruses and methods of viral replication ,Virttu Biologics Limited,"Joe Conner, Susanne Moira Brown",2/16/2007,2/15/2008,4/24/2012,4/24/2012,https://patents.google.com/patent/US8163292B2/en,https://patentimages.storage.googleapis.com/aa/a7/a2/b39aecf47b03bb/US08163292-20120424-D00001.png
US-10047347-B2,Oncolytic adenoviruses with increased proportion of the 156R splicing isoform of the E1B protein ,Ixogen Ltd.,Hans Daniel Öberg,11/30/2012,11/29/2013,8/14/2018,8/14/2018,https://patents.google.com/patent/US10047347B2/en,https://patentimages.storage.googleapis.com/95/59/35/250b8fdde400db/US10047347-20180814-D00000.png
US-8470312-B2,Abrogating proinflammatory cytokine production during oncolytic reovirus therapy ,"Oncolytics Biotech, Inc.","Matthew C. Coffey, Bradley G. Thompson, Hardev Pandha",5/27/2008,5/27/2009,6/25/2013,6/25/2013,https://patents.google.com/patent/US8470312B2/en,https://patentimages.storage.googleapis.com/69/83/b5/c828229f0a22a5/US08470312-20130625-D00001.png
US-9988452-B2,Antibody molecules to PD-L1 and uses thereof ,"Novartis Ag, Dana-Farber Cancer Institute, Inc., President And Fellows Of Harvard College","Gordon James Freeman, Arlene Helen Sharpe, Gerhard Johann Frey, Hwai Wen Chang, Jennifer Marie Mataraza, Glenn Dranoff",10/14/2014,10/13/2015,6/5/2018,6/5/2018,https://patents.google.com/patent/US9988452B2/en,https://patentimages.storage.googleapis.com/ca/f9/ed/f26cab6b9469c4/US09988452-20180605-D00000.png
US-10232053-B2,"Immunomodulatory oncolytic adenoviral vectors, and methods of production and use thereof for treatment of cancer ","Trieza Therapeutics, Inc.","Daniel Hicklin, Kenneth Nelson Wills, Cynthia Seidel-Dugan, William Winston, Philipp Steiner",12/30/2016,12/7/2017,3/19/2019,3/19/2019,https://patents.google.com/patent/US10232053B2/en,https://patentimages.storage.googleapis.com/12/db/84/1ba8d38e0ec546/US10232053-20190319-D00001.png
US-9526779-B2,Method for cancer immunotherapy and pharmaceutical compositions based on oncolytic non-pathogenic Sendai virus ,"Olga Matveeva, Anna Senina","Olga Matveeva, Anna Senina, Vyacheslav Slav Mikhailovich Senin",11/26/2012,11/21/2013,12/27/2016,12/27/2016,https://patents.google.com/patent/US9526779B2/en,
US-9675673-B2,Transluminal delivery of oncoltyic viruses for cancer therapy ,Ingeneron Incorporated,Eckhard U. Alt,4/24/2009,4/23/2010,6/13/2017,6/13/2017,https://patents.google.com/patent/US9675673B2/en,https://patentimages.storage.googleapis.com/04/ff/45/dde67b9c96c36a/US09675673-20170613-D00000.png
US-8105578-B2,Treatment of neoplasms with viruses ,Wellstat Biologics Corporation,"Michael S. Roberts, Robert M. Lorence, William S. Groene, Harvey Rabin, Reid W. von Borstel",10/9/1997,1/29/2007,1/31/2012,1/31/2012,https://patents.google.com/patent/US8105578B2/en,https://patentimages.storage.googleapis.com/02/3a/77/e8e3ac4db818c1/US08105578-20120131-D00001.png
US-7732491-B2,Treatment of breast cancer with a PARP inhibitor alone or in combination with anti-tumor agents ,"Bipar Sciences, Inc.","Barry M. Sherman, Charles Bradley, Valeria s. Ossovskaya",11/12/2007,11/11/2008,6/8/2010,6/8/2010,https://patents.google.com/patent/US7732491B2/en,https://patentimages.storage.googleapis.com/2e/c7/90/72a968aba5d66d/US07732491-20100608-D00001.png
US-9610352-B2,Lyophilized viral formulations ,Oncolytics Biotech Inc.,"Matthew C. Coffey, Sarah Serl, Leo Pavliv",12/2/2010,4/22/2015,4/4/2017,4/4/2017,https://patents.google.com/patent/US9610352B2/en,https://patentimages.storage.googleapis.com/dd/c0/b3/ebb3ed8f93679c/US09610352-20170404-D00001.png
US-10232002-B1,Oncolytic HSV1 vectors and methods of using the same ,"The Brigham And Women's Hospital, Ohio State Innovation Foundation","Hiroshi Nakashima, Ennio Antonio Chiocca",11/14/2012,11/14/2013,3/19/2019,3/19/2019,https://patents.google.com/patent/US10232002B1/en,https://patentimages.storage.googleapis.com/2e/a7/b9/8f55b7129961d8/US10232002-20190319-D00001.png
US-8765463-B2,Chimeric adenoviruses for use in cancer treatment ,Psioxus Therapeutics Limited,"Paul Harden, Terry Hermiston, Irene Kuhn",5/26/2004,4/10/2012,7/1/2014,7/1/2014,https://patents.google.com/patent/US8765463B2/en,https://patentimages.storage.googleapis.com/76/59/4a/ba072c20e8baa3/US08765463-20140701-D00001.png
US-9987315-B2,Use of a combination of Myxoma virus and rapamycin for therapeutic treatment ,The University Of Western Ontario,"Grant McFadden, John Barrett, Marianne Stanford",3/7/2005,10/9/2013,6/5/2018,6/5/2018,https://patents.google.com/patent/US9987315B2/en,https://patentimages.storage.googleapis.com/1d/61/98/278b57fbbbd454/US09987315-20180605-D00001.png
US-8288145-B2,Medium supplement for virus production ,Avir Green Hills Biotechnology,"Elisabeth Röthl, Andrej Egorov",10/12/2006,10/11/2007,10/16/2012,10/16/2012,https://patents.google.com/patent/US8288145B2/en,https://patentimages.storage.googleapis.com/49/7f/5c/145f054a6920eb/US08288145-20121016-D00001.png
US-9687515-B2,Poxviral oncolytic vectors ,Transgene S.A.,"Philippe Erbs, Johann Foloppe",11/19/2007,4/10/2014,6/27/2017,6/27/2017,https://patents.google.com/patent/US9687515B2/en,https://patentimages.storage.googleapis.com/3d/95/ca/3fc82e20dab82a/US09687515-20170627-D00000.png
